Variable Name,,,,Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Average | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency,Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Fiscal income  | equal-split adults | Share | Adults | share of total (ratio),Net personal wealth | equal-split adults | Share | Adults | share of total (ratio),Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio),Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Threshold | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency
,CN,2013,p99.991p100,6592562.33048,203244716.735,15040824.9133,2.21257281303,4.12978696823,2.75267672539,0.0188495405018,0.0779653787613,0.0271853543818,2979591.25,49214336,5464072.5
,CN,2013,p99.991p99.992,3072104.32639,52141465.761,5717311.03412,,,,0.000975977804046,0.00222240528092,0.00114818708971,2979591.25,49214336,5464072.5
,CN,2013,p99.992p100,7032619.70504,222132614.672,16206264.2102,2.20779490471,4.016497612,2.71029806137,0.0178735610098,0.0757429674268,0.0260371677577,3185359.25,55305052,5979513.5
,CN,2013,p99.992p99.993,3288402.18318,59033501.8579,6283298.63849,,,,0.00104469351936,0.00251616165042,0.00126185233239,3185359.25,55305052,5979513.5
,CN,2013,p99.993p100,7567508.20601,245432488.498,17623830.9331,2.21476793289,3.88958930969,2.66501402855,0.0168288685381,0.0732268095016,0.0247753150761,3416840.25,63099848,6613035
,CN,2013,p99.993p99.994,3556144.91002,67991706.967,6981391.43504,,,,0.00112975283992,0.00289798388258,0.00140204781201,3416840.25,63099848,6613035
,CN,2013,p99.994p100,8236068.46587,275005949.44,19397569.5262,2.17601513863,3.74724435806,2.62802886963,0.0156991146505,0.0703288242221,0.023373266682,3784931.5,73388848,7381033.5
,CN,2013,p99.994p99.995,4003741.35591,80057063.4326,7858686.6618,,,,0.00127194984816,0.0034122406505,0.00157823192421,3784931.5,73388848,7381033.5
,CN,2013,p99.995p100,9082534.03673,313995729.817,21705348.0839,2.11558938026,3.58741569519,2.59189629555,0.0144271655008,0.0669165849686,0.0217950362712,4293146,87527000,8374312
,CN,2013,p99.995p99.996,4621766.31708,97095688.1586,9022383.23389,,,,0.00146829045843,0.00413847155869,0.00181193288881,4293146,87527000,8374312
,CN,2013,p99.996p100,10197726.0907,368220752.141,24876087.0635,1.99715769291,3.40806794167,2.55532360077,0.012958874926,0.0627781152725,0.0199831016362,5106119.5,108043840,9735005
,CN,2013,p99.996p99.997,5604950.438,122817504.899,10668618.0834,,,,0.00178063847125,0.00523480214179,0.00214254041202,5106119.5,108043840,9735005
,CN,2013,p99.997p100,11728651.3083,450021826.615,29611912.0417,1.84983861446,3.20844650269,2.52029895782,0.0111782364547,0.0575433112681,0.0178405623883,6340364.5,140261600,11749365
,CN,2013,p99.997p99.998,7112008.95949,165821324.438,13264083.1964,,,,0.00225941627286,0.00706773716956,0.00266377837397,6340364.5,140261600,11749365
,CN,2013,p99.998p100,14036971.7383,592122101.522,37785823.487,1.72242772579,2.99624681473,2.4957177639,0.00891881994903,0.0504755750298,0.0151767842472,8149527,197621264,15140263
,CN,2013,p99.998p99.999,9492224.23248,251820928.723,18365215.4561,,,,0.00301558780484,0.0107332644984,0.00368822040036,8149527,197621264,15140263
,CN,2013,p99.99p99.991,2853347.69922,46689718.3033,5242694.90992,,,,0.000906480941921,0.00199003750458,0.0010528715793,2748423.75,44336616,5035521
,CN,2013,p99.9p99.91,561642.88763,7308838.11857,978410.608021,,,,0.00178428506479,0.00311521743424,0.00196490692906,542504.4375,7107602.5,946313.5
,CN,2013,p99p99.1,175803.896584,2689907.451,316020.503408,,,,0.00558511959389,0.0114650866017,0.00634652655572,171860.09375,2629427.5,309211.625
,CN,2012,p0p100,28867.4362474,211315.425933,45665.8255283,2972.88354492,-2.85437965393,-13.5057296753,1,1.00000023842,1,9.71024799347,-74032,-3381.21875
,CN,2012,p0p50,9358.08437841,27961.5523603,13703.5464406,,,,0.162087216973,0.0661606937647,0.150041595101,9.71024799347,-74032,-3381.21875
,CN,2012,p50p90,33676.7330446,141893.669106,49694.5659261,,,,0.4666397572,0.2685911953,0.4352888763,19483.9824219,65434.546875,28374
,CN,2012,p99p100,329149.592261,5757361.17628,627912.639553,2.15113115311,2.43999671936,2.24739789963,0.114021070302,0.272453427315,0.137501657009,153012.328125,2359577.5,279395.40625
,CN,2012,p99.9p100,1342291.46253,27685996.0128,2703812.72263,2.74789905548,4.32779884338,3.14248728752,0.0464984662831,0.131017386913,0.0592086687684,488479.15625,6397246.5,860405.3125
,CN,2012,p99.99p100,5638840.27212,168831640.789,13015184.2427,2.25522851944,4.11324167252,2.79881358147,0.0195335671306,0.0798955559731,0.0285009276122,2500341,41045884,4650250.5
,CN,2012,p99.999p100,16782841.6673,815988471.352,52669996.4411,1.53065168858,2.72407317162,2.4643163681,0.00581376254559,0.0386147126555,0.0115337884054,10964507,299547200,21373066
,CN,2012,p0p10,2835.72523198,-4765.15214496,2611.6766368,,,,0.00982326641679,-0.00225499481894,0.00571910524741,9.71024799347,-74032,-3381.21875
,CN,2012,p10p20,5941.70599157,16607.1342764,8047.15531506,,,,0.0205827280879,0.00785893108696,0.0176218319684,4632.66503906,10360.2988281,5423.13964844
,CN,2012,p20p30,8736.75762364,28576.7866206,13333.8929571,,,,0.0302650966,0.0135232843,0.029198844,7247.69726562,20237.3085938,10655.5302734
,CN,2012,p30p40,12368.2014611,42054.7773961,19214.9392599,,,,0.0428448208,0.0199014228,0.0420772843,10360.171875,34873.9960938,16194.3466797
,CN,2012,p40p50,16908.0305958,57334.2121957,25310.0695162,,,,0.058571294,0.0271320511,0.0554245301,14258.6337891,49232.5976562,22249.1933594
,CN,2012,p50p60,22255.5850057,76384.5444455,31687.0015996,,,,0.077095814,0.036147166,0.0693888739,19483.9824219,65434.546875,28374
,CN,2012,p60p70,28909.3141202,104972.705962,40067.2667924,,,,0.1001450717,0.0496758334,0.0877401531,25491.3398438,88946.296875,35363.6835938
,CN,2012,p70p80,36235.4779865,148665.906969,52702.5807178,,,,0.1255237162,0.070352599,0.1154092327,32160.4121094,122229.53125,45447.9375
,CN,2012,p80p90,47306.5491384,237551.511143,74321.4145944,,,,0.1638751328,0.1124155968,0.1627506167,40968.3789062,181843.328125,61275.9179688
,CN,2012,p90p100,107177.00544,1405771.7974,189362.244811,1.88824617863,4.34234571457,2.06505990028,0.3712730706,0.6652480364,0.4146694839,56760.0820312,323735.5625,91698.1875
,CN,2012,p0p1,540.406953274,-58790.7323165,-461.762606349,,,,0.000187202967936,-0.00278213154525,-0.000101117759186,9.71024799347,-74032,-3381.21875
,CN,2012,p1p2,1132.02328869,-25956.4568041,592.179325571,,,,0.0003921454,-0.0012283275,0.0001296767,992.961120606,-42852.8828125,195.330535889
,CN,2012,p2p3,1765.22828368,-1214.59884188,1264.06491803,,,,0.0006114946,-5.7478E-05,0.0002768076,1339.63293457,-9405.52832031,947.419067383
,CN,2012,p3p4,2514.49779319,1503.87489129,1866.03464119,,,,0.0008710499,7.11673E-05,0.0004086283,2231.98217773,861.149414062,1570.68457031
,CN,2012,p4p5,2930.15667375,2789.3259024,2439.93191417,,,,0.0010150388,0.0001319982,0.0005343015,2736.25708008,2146.60058594,2155.61987305
,CN,2012,p5p6,3298.6523166,4074.77728397,2998.02866279,,,,0.0011426897,0.0001928291,0.0006565147,3122.61083984,3432.05175781,2719.38842773
,CN,2012,p6p7,3583.9778027,5361.98148026,3546.80810337,,,,0.0012415297,0.000253743,0.0007766876,3456.46166992,4717.50292969,3273.62792969
,CN,2012,p7p8,3879.36104189,6748.85926181,4088.12085458,,,,0.0013438537,0.0003193737,0.0008952254,3713.64038086,6026.57177734,3818.05419922
,CN,2012,p8p9,4208.91243648,8193.43544584,4625.24754737,,,,0.0014580139,0.0003877348,0.0010128466,4048.87866211,7471.14746094,4357.14013672
,CN,2012,p9p10,4504.03634701,9638.01113591,5158.11260597,,,,0.00156024820171,0.000456095935078,0.00112953456119,4363.546875,8915.72265625,4892.29443359
,CN,2012,p10p11,4744.27050786,11082.586332,5688.05589507,,,,0.00164346792735,0.000524457020219,0.00124558259267,4632.66503906,10360.2988281,5423.13964844
,CN,2012,p11p12,4979.04493613,13980.1695981,6215.91862743,,,,0.0017247964,0.0006615783,0.0013611751,4845.39550781,11804.8740234,5951.18212891
,CN,2012,p12p13,5290.72339995,16637.2322069,6741.91962705,,,,0.0018327653,0.0007873174,0.0014763599,5133.58544922,15876.0263672,6479.91650391
,CN,2012,p13p14,5577.02667857,17182.7450944,7266.27327227,,,,0.0019319439,0.0008131325,0.0015911841,5439.22509766,17066.7851562,7004.67773438
,CN,2012,p14p15,5823.00558653,17299.5388164,7789.56737471,,,,0.0020171537,0.0008186595,0.0017057761,5709.79833984,17258.0917969,7528.21826172
,CN,2012,p15p16,6029.43465208,17325.6099903,8311.94864029,,,,0.0020886629,0.0008198933,0.0018201682,5931.69238281,17316,8051.34960938
,CN,2012,p16p17,6296.52735803,17372.3148337,8833.34248115,,,,0.0021811868,0.0008221035,0.0019343442,6133.41748047,17336.4746094,8573.34082031
,CN,2012,p17p18,6624.72036444,17663.9978235,9354.66519186,,,,0.0022948766,0.0008359067,0.0020485045,6467.38476562,17442.9570312,9093.48046875
,CN,2012,p18p19,6908.46196992,18294.4855482,9874.65816404,,,,0.0023931679,0.000865743,0.0021623736,6773.53466797,18012.6855469,9615.12695312
,CN,2012,p19p20,7143.84347422,19232.6546177,10395.2023948,,,,0.0024747066,0.0009101396,0.0022763635,7033.15673828,18555.3164062,10135.7070312
,CN,2012,p20p21,7375.90902948,21772.2023239,10915.2734126,,,,0.0025550968,0.0010303176,0.0023902499,7247.69726562,20237.3085938,10655.5302734
,CN,2012,p21p22,7721.11300761,24607.7976445,11434.9670454,,,,0.0026746793,0.0011645055,0.0025040535,7540.09277344,23377.8691406,11175.3466797
,CN,2012,p22p23,8041.21940568,26430.3317565,11954.8355398,,,,0.0027855677,0.0012507525,0.0026178954,7889.92529297,25651.4902344,11694.2373047
,CN,2012,p23p24,8304.58271862,27617.3041935,12475.8065515,,,,0.0028767996,0.0013069232,0.0027319787,8181.89306641,27104.1503906,12214.2333984
,CN,2012,p24p25,8533.23748464,28459.3270414,13002.8127584,,,,0.0029560081,0.0013467699,0.0028473837,8421.59667969,28073.6367188,12738.4970703
,CN,2012,p25p26,8793.4651437,29204.0517545,13548.4283894,,,,0.0030461538,0.0013820123,0.0029668638,8654.12695312,28829.6621094,13270.4355469
,CN,2012,p26p27,9106.48520109,30047.0901829,14116.110172,,,,0.0031545875,0.001421907,0.003091176,8940.09960938,29595.9121094,13830.2412109
,CN,2012,p27p28,9474.50170338,31118.6559357,14701.1190603,,,,0.0032820725,0.0014726163,0.0032192825,9280.03613281,30537.6992188,14408.6953125
,CN,2012,p28p29,9843.91808644,32207.7947859,15295.4400701,,,,0.0034100425,0.0015241572,0.0033494281,9673.94921875,31747.5585938,14997.9951172
,CN,2012,p29p30,10173.1489014,34303.3145388,15894.1405234,,,,0.0035240916,0.0016233227,0.0034805329,10000.5683594,33228.4179688,15594.3339844
,CN,2012,p30p31,10571.4609179,35680.4139013,16494.6656624,,,,0.0036620714,0.0016884906,0.003612037,10360.171875,34873.9960938,16194.3466797
,CN,2012,p31p32,11010.498894,37144.9005983,17097.2189985,,,,0.003814159,0.0017577939,0.0037439854,10796.8642578,36450.4257812,16795.3164062
,CN,2012,p32p33,11399.3594925,38449.3286628,17700.1240337,,,,0.0039488645,0.0018195229,0.0038760109,11197.9589844,37812.4296875,17398.6601562
,CN,2012,p33p34,11874.2154482,39722.5384971,18303.9695675,,,,0.0041133598,0.0018797746,0.0040082424,11621.5996094,39081.578125,18003.2617188
,CN,2012,p34p35,12329.6499105,41064.2229508,18909.3641577,,,,0.0042711273,0.0019432666,0.0041408129,12133.5419922,40375.625,18606.9785156
,CN,2012,p35p36,12632.3037372,42531.3849316,19514.6500769,,,,0.00437597,0.0020126966,0.0042733597,12479.0419922,41774.6210938,19212.0332031
,CN,2012,p36p37,12932.1074185,44127.288523,20120.9594798,,,,0.0044798255,0.0020882189,0.0044061309,12784.1201172,43310.7148438,19817.2636719
,CN,2012,p37p38,13271.9731781,45788.2564385,20727.533645,,,,0.0045975586,0.0021668202,0.0045389594,13092.7080078,44956.0742188,20422.0546875
,CN,2012,p38p39,13629.2016084,47368.1676022,21336.3681681,,,,0.0047213067,0.0022415859,0.0046722833,13446.2382812,46608.6015625,21031.1054688
,CN,2012,p39p40,14031.2410421,48671.279759,21944.5407856,,,,0.0048605776,0.0023032525,0.0048054624,13814.6396484,48075.3789062,21641.1152344
,CN,2012,p40p41,14492.0053257,49776.7054366,22554.01548,,,,0.0050201914,0.0023555642,0.0049389265,14258.6337891,49232.5976562,22249.1933594
,CN,2012,p41p42,14950.3195711,50962.7887468,23163.7806225,,,,0.0051789563,0.0024116926,0.005072454,14717.2226562,50335.6992188,22857.5175781
,CN,2012,p42p43,15487.675214,52436.8898685,23775.0474013,,,,0.0053651026,0.002481451,0.0052063107,15192.5957031,51639.7734375,23468.1367188
,CN,2012,p43p44,16075.1380923,54291.7625105,24387.7446865,,,,0.0055686063,0.0025692284,0.0053404802,15782.1132812,53299.9101562,24083.5039062
,CN,2012,p44p45,16683.1783288,56472.2887139,25000.8114532,,,,0.005779238,0.0026724166,0.0054747309,16374.0253906,55341.0078125,24693.4707031
,CN,2012,p45p46,17300.7223429,58735.2191902,25614.957027,,,,0.0059931623,0.0027795045,0.005609218,16997.3222656,57621.2304688,25307.8828125
,CN,2012,p46p47,17823.6395544,60645.0003523,26231.1732785,,,,0.0061743064,0.0028698803,0.0057441583,17579.5976562,59787.859375,25923.7148438
,CN,2012,p47p48,18283.2232752,62060.7431418,26845.4650643,,,,0.0063335113,0.0029368768,0.0058786771,18053.2695312,61411.296875,26539.9921875
,CN,2012,p48p49,18748.2879689,63300.2768042,27458.7294148,,,,0.0064946148,0.002995535,0.006012971,18513.9023438,62682.0976562,27153.8984375
,CN,2012,p49p50,19236.1241881,64660.4590472,28068.9727099,,,,0.006663607,0.0030599022,0.0061466037,18989.4238281,63940.3476562,27761.578125
,CN,2012,p50p51,19734.1833898,66329.9033049,28681.2965617,,,,0.0068361401,0.0031389047,0.0062806914,19483.9824219,65434.546875,28374
,CN,2012,p51p52,20241.455921,68350.0547418,29301.3202518,,,,0.0070118648,0.0032345036,0.0064164656,19986.8964844,67286.9375,28987.4746094
,CN,2012,p52p53,20756.1556249,70566.7624789,29934.0090593,,,,0.0071901623,0.003339404,0.0065550134,20496.3515625,69450.1640625,29615.2324219
,CN,2012,p53p54,21291.4435541,72615.4371039,30583.8165216,,,,0.0073755924,0.0034363526,0.0066973092,21022,71653.2421875,30254.8300781
,CN,2012,p54p55,21845.0079788,74482.152915,31252.4339556,,,,0.0075673531,0.0035246906,0.0068437248,21562.4042969,73536.171875,30915.5917969
,CN,2012,p55p56,22437.6564422,76661.9045902,31943.8090842,,,,0.0077726529,0.0036278421,0.0069951233,22136.421875,75485.828125,31593.7246094
,CN,2012,p56p57,23055.168843,79406.0265446,32657.2641953,,,,0.0079865661,0.0037577013,0.0071513574,22742.8984375,77939.6875,32297.8515625
,CN,2012,p57p58,23702.3148524,82128.0428307,33397.2666572,,,,0.0082107447,0.0038865141,0.0073134047,23373.7519531,80941.3359375,33021.5625
,CN,2012,p58p59,24379.1320114,85630.9574602,34162.4847554,,,,0.0084452014,0.0040522814,0.0074809738,24034.4453125,83994.21875,33775.6171875
,CN,2012,p59p60,25113.3255114,87674.1629674,34956.3248335,,,,0.0086995345,0.0041489713,0.0076548108,24736.5449219,86462.1953125,34554.1210938
,CN,2012,p60p61,25867.1430281,90391.7375711,35779.9802973,,,,0.0089606652,0.0042775739,0.0078351768,25491.3398438,88946.296875,35363.6835938
,CN,2012,p61p62,26599.4258933,93571.0495583,36635.4823077,,,,0.0092143361,0.0044280272,0.008022516,26242.5546875,91927.6640625,36202.1835938
,CN,2012,p62p63,27281.494828,96615.9887986,37523.7397498,,,,0.0094506126,0.0045721219,0.0082170283,26945.2988281,95199.5078125,37075.78125
,CN,2012,p63p64,27956.9822485,99248.286262,38445.6022336,,,,0.0096846083,0.0046966891,0.0084189,27618,97928.453125,37977.4804688
,CN,2012,p64p65,28637.7412031,102315.584078,39405.6616052,,,,0.0099204313,0.0048418413,0.0086291358,28298.7421875,100656.921875,38919.1875
,CN,2012,p65p66,29299.8561563,105966.315052,40405.2811923,,,,0.0101497956,0.0050146035,0.0088480348,28973.0625,104095.648438,39900.4375
,CN,2012,p66p67,29929.5001984,109236.926531,41445.1525381,,,,0.0103679113,0.0051693777,0.0090757478,29621.6347656,107748.210938,40920.671875
,CN,2012,p67p68,30528.7163452,112937.377477,42529.4446593,,,,0.0105754863,0.0053444924,0.0093131885,30233.0800781,110798.992188,41979.5429688
,CN,2012,p68p69,31164.9873458,118062.826033,43660.7775164,,,,0.0107958969,0.0055870423,0.0095609305,30832.7714844,115414.773438,43088.2226562
,CN,2012,p69p70,31827.3018587,121380.991967,44841.5418724,,,,0.0110253301,0.0057440666,0.0098194964,31495.9609375,120306.476562,44240.6992188
,CN,2012,p70p71,32500.5980755,123409.268047,46074.3734944,,,,0.0112585677,0.0058400501,0.0100894645,32160.4121094,122229.53125,45447.9375
,CN,2012,p71p72,33218.5956367,127513.809345,47363.1331687,,,,0.0115072904,0.0060342876,0.0103716804,32850.953125,125017.835938,46705.703125
,CN,2012,p72p73,33981.2253879,132639.921783,48714.0092177,,,,0.0117714731,0.0062768687,0.0106674973,33593.0351562,130258.976562,48023.65625
,CN,2012,p73p74,34777.630103,138055.360037,50127.3454373,,,,0.0120473569,0.0065331412,0.0109769935,34374.1289062,134879.390625,49415.5664062
,CN,2012,p74p75,35609.0901244,144635.815223,51609.7766893,,,,0.0123353833,0.0068445457,0.011301619,35188.0742188,141730.71875,50852.7070312
,CN,2012,p75p76,36491.9693371,150803.778796,53167.6335565,,,,0.0126412231,0.0071364297,0.0116427615,36036.09375,147075.578125,52373.7109375
,CN,2012,p76p77,37431.1006395,156726.81757,54806.1203945,,,,0.0129665481,0.0074167238,0.012001561,36954.25,154949.765625,53970.8398438
,CN,2012,p77p78,38415.1822416,162759.665481,56532.6307868,,,,0.0133074457,0.0077022137,0.0123796361,37916.1445312,158296.453125,55658.1757812
,CN,2012,p78p79,39447.478227,170648.251451,58353.5624947,,,,0.0136650437,0.0080755223,0.0127783874,38923.1679688,167787.125,57426.671875
,CN,2012,p79p80,40481.9239234,179466.350347,60277.2140351,,,,0.0140233878,0.0084928181,0.013199633,39979.2929688,174683.125,59294.484375
,CN,2012,p80p81,41444.9035826,184089.793955,62316.5982728,,,,0.0143569745,0.0087116109,0.0136462217,40968.3789062,181843.328125,61275.9179688
,CN,2012,p81p82,42416.810075,193077.498729,64482.744332,,,,0.0146936532,0.0091369329,0.0141205685,41924.2265625,188189.5625,63374.4023438
,CN,2012,p82p83,43465.4541386,201596.582303,66792.1148894,,,,0.0150569156,0.0095400782,0.0146262795,42923.1523438,197044.875,65609.6953125
,CN,2012,p83p84,44639.022495,212080.865325,69261.9906188,,,,0.0154634528,0.0100362217,0.0151671385,44027.1835938,206396.890625,67996.2734375
,CN,2012,p84p85,45939.435658,225378.503643,71913.7777418,,,,0.0159139298,0.0106655015,0.0157478321,45269.4609375,217438.859375,70556.96875
,CN,2012,p85p86,47362.6866294,240377.954385,74777.0901089,,,,0.0164069608,0.0113753146,0.0163748469,46632.5859375,233805.484375,73311.140625
,CN,2012,p86p87,48960.0365337,250633.767382,77891.3575304,,,,0.0169603005,0.0118606463,0.0170568153,48118.9570312,242671.34375,76288.1796875
,CN,2012,p87p88,50759.3288709,268534.91706,81310.0461651,,,,0.0175835937,0.0127077755,0.0178054478,49823.78125,258401.96875,79540.296875
,CN,2012,p88p89,52775.9870273,291058.609364,85100.9114276,,,,0.0182821881,0.0137736555,0.0186355785,51723.8671875,278435.84375,83133.40625
,CN,2012,p89p90,55301.8066155,308686.682513,89367.5504222,,,,0.0191571601,0.0146078626,0.0195698962,53952.2539062,302108.90625,87142.7890625
,CN,2012,p90p91,58467.0585441,353190.885722,94259.0282226,,,,0.0202536378,0.0167139173,0.0206410438,56760.0820312,323735.5625,91698.1875
,CN,2012,p91p92,62098.8214793,432251.188149,99984.4753577,,,,0.0215117205,0.020455258,0.0218948144,60228.734375,390268.75,96963.7890625
,CN,2012,p92p93,65984.3728197,526451.652552,106854.801691,,,,0.0228577182,0.0249130707,0.0233992934,63932.0429688,476638.59375,103202.476562
,CN,2012,p93p94,70571.4886819,639243.323879,115297.649556,,,,0.0244467463,0.0302506685,0.0252481252,68164.6875,579332.625,110764.1875
